科目名,キャンパス,担当者名,授業実施形態,教室,曜日時限,開講場所
フランス語インテンシブ３FA,湘南藤沢,"宮代 康丈, ヴィアート， クロエ, デュレンベルジェ， ヴァンサン, 常盤 僚子",対面授業（主として対面授業）,"火2:ο15, 水2:ι22, 木3:ε15, 金1:ι22",火2/水2/木3/金1,SFC
中国語インテンシブ２CA,湘南藤沢,"華 金玲, 佐々木 聡, 楊 寧, リュウ ロ",対面授業（主として対面授業）,"月2:ε16, 火1:ε16, 水2:κ17, 金1:ι12",月2/火1/水2/金1,SFC
フランス語ベーシック２A,湘南藤沢,"山根 祐佳, マレシャル， ベアトリス",対面授業（主として対面授業）,"木3:κ22, 金3:λ16",木3/金3,SFC
研究会Ｂ,湘南藤沢,土屋 大洋,対面授業（主として対面授業）,κ17,月4,SFC
中国語ベーシック２CB,湘南藤沢,"辛 孟軻, 王 慧琴",対面授業（主として対面授業）,"月4:λ23, 水4:ι12",月4/水4,SFC
朝鮮語インテンシブ１,湘南藤沢,"高木 丈也, 金 南听, 徐 旻廷, 柳町 功",対面授業（主として対面授業）,"火2:ι12, 水2:ε16, 木2:κ12, 金1:κ21",火2/水2/木2/金1,SFC
朝鮮語インテンシブ２,湘南藤沢,"高木 丈也, 金 南听, 徐 旻廷",対面授業（主として対面授業）,"月3:λ24, 水2:ε15, 水3:ε15, 木3:κ13","月3/水2,3/木3",SFC
中国語ベーシック２CA,湘南藤沢,"辛 孟軻, 韓 氷",対面授業（主として対面授業）,"月3:λ23, 水4:ι13",月3/水4,SFC
ドイツ語スキル,湘南藤沢,クンスト， ダグマー,対面授業（主として対面授業）,κ13,月3,SFC
日本語スキル１Ｃ,湘南藤沢,山崎 哲,対面授業（主として対面授業）,ε23,金2,SFC
日本語スキル２Ｗ,湘南藤沢,山崎 哲,対面授業（主として対面授業）,ε23,金1,SFC
マレー・インドネシア語インテンシブ１,湘南藤沢,"二重作 和代, サントーソ， ペトルス, バンバン， ルディアント, フロレンティナ， エリカ Ａ．",対面授業（主として対面授業）,"月1:ε24, 火2:ε24, 水1:κ21, 木2:ε24",月1/火2/水1/木2,SFC
マレー・インドネシア語インテンシブ２,湘南藤沢,"野中 葉, サントーソ， ペトルス, 二重作 和代, フロレンティナ， エリカ Ａ．",対面授業（主として対面授業）,"火2:ε23, 水2:κ21, 木1:ε24, 金2:ι16",火2/水2/木1/金2,SFC
ドイツ語インテンシブ１GA,湘南藤沢,"マイヤー， アンドレアス, 小笠原 藤子, 中川 純子, 山田・クロッツ， マティアス　ダニエル",対面授業（主として対面授業）,"月1:κ13, 火2:κ17, 水1:κ16, 金2:κ14",月1/火2/水1/金2,SFC
スペイン語インテンシブ２,湘南藤沢,"藤田 護, ガルシア　ベルナル， カルメン, 小波津 ホセ, 新谷 ロクサナ",対面授業（主として対面授業）,"火1:λ18, 火2:λ18, 水1:λ14, 木2:λ16","火1,2/水1/木2",SFC
朝鮮語ベーシック１KA,湘南藤沢,"徐 旻廷, 中島 仁",対面授業（主として対面授業）,"月4:λ24, 水4:ε11",月4/水4,SFC
フランス語インテンシブ２FB,湘南藤沢,"澁谷 与文, ガイヤル， ニコラ, マレシャル， ベアトリス, 余語 毅憲",対面授業（主として対面授業）,"火2:ι13, 水2:ι21, 木2:λ17, 金2:λ16",火2/水2/木2/金2,SFC
スペイン語インテンシブ１,湘南藤沢,"新谷 ロクサナ, 小波津 ホセ, 手塚 進, 藤田 護",対面授業（主として対面授業）,"水1:λ16, 水2:λ16, 木2:ο15, 金1:λ17","水1,2/木2/金1",SFC
スペイン語スキルA,湘南藤沢,与那嶺 ディエゴフェルナンド,対面授業（主として対面授業）,ι17,火1,SFC
ドイツ語スキル,湘南藤沢,ホイサーマン， ペーター,対面授業（主として対面授業）,κ15,金3,SFC
ドイツ語スキル,湘南藤沢,ホイサーマン， ペーター,対面授業（主として対面授業）,κ15,金4,SFC
ドイツ語スキル,湘南藤沢,マイヤー， アンドレアス,対面授業（主として対面授業）,κ15,火3,SFC
日本語スキル１W,湘南藤沢,伴野 崇生,対面授業（主として対面授業）,ο16,水2,SFC
フランス語スキル(フランス語と市民性),湘南藤沢,倉舘 健一,対面授業（主として対面授業）,ε15,火4,SFC
中国語スキル(検定),湘南藤沢,王 慧琴,対面授業（主として対面授業）,ι12,水5,SFC
中国語スキル(会話),湘南藤沢,華 金玲,対面授業（主として対面授業）,ι18,火3,SFC
プロジェクト英語Ａ(Translation),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ε12,水1,SFC
アラビア語インテンシブ１,湘南藤沢,"アルマンスール， アフマド, 植村 さおり, 兼定 愛",対面授業（主として対面授業）,"火2:λ24, 水1:ε11, 木2:κ15, 金2:ε15",火2/水1/木2/金2,SFC
朝鮮語スキル(多文化),湘南藤沢,許 秦,対面授業（主として対面授業）,λ16,月4,SFC
プロジェクト英語Ａ(Presentation),湘南藤沢,ハースト， チャールズ,対面授業（主として対面授業）,ι17,月3,SFC;その他
プロジェクト英語ＣEC03(Writing)(GIGA/GG/GI),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ο18,火2,SFC
プロジェクト英語Ｂ(Writing),湘南藤沢,太田 理津子,対面授業（主として対面授業）,κ22,水1,SFC;その他
プロジェクト英語ＡEA03(Writing),湘南藤沢,ホン， トゥアン,対面授業（主として対面授業）,ο15,水2,SFC
プロジェクト英語ＡEA03(Presentation),湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,κ22,金2,SFC;その他
マレー・インドネシア語スキル(会話),湘南藤沢,サントーソ， ペトルス,対面授業（主として対面授業）,ε24,月3,SFC
アラビア語スキル,湘南藤沢,アルマンスール， アフマド,対面授業（主として対面授業）,ε12,水4,SFC
中国語スキル(文芸),湘南藤沢,韓 氷,対面授業（主として対面授業）,ι13,水3,SFC
プロジェクト英語Ｂ(Translation),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ι15,火3,SFC
中国語スキル(日中文化比較),湘南藤沢,宮本 大輔,対面授業（主として対面授業）,ι13,月3,SFC
朝鮮語スキル(リスニング),湘南藤沢,徐 旻廷,対面授業（主として対面授業）,ε16,水4,SFC
アラビア語スキル,湘南藤沢,ジャームース， ラーウィヤ,対面授業（主として対面授業）,λ18,金3,SFC
プロジェクト英語Ａ(Listening),湘南藤沢,ワイマン， ウォルター,対面授業（主として対面授業）,ι15,火2,SFC
プロジェクト英語Ｂ(Writing),湘南藤沢,ヤナギ， ルスワティ,対面授業（主として対面授業）,κ17,金3,SFC
プロジェクト英語ＡEA02(Presentation),湘南藤沢,グレイ， ジョージ,対面授業（主として対面授業）,ο11,水1,SFC
プロジェクト英語Ｂ(Oral Listening),湘南藤沢,オルファーズ， キース,対面授業（主として対面授業）,κ14,木2,SFC
プロジェクト英語ＣEC03(Heavy Metal)(GIGA/GG/GI),湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ο18,金1,SFC
プロジェクト英語Ｂ(Project),湘南藤沢,山田 彬尭,対面授業（主として対面授業）,λ16,月2,SFC
プロジェクト英語Ａ(Reading),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ο18,木1,SFC
日本語スキル２Ｃ,湘南藤沢,伴野 崇生,対面授業（主として対面授業）,λ14,火3,SFC
プロジェクト英語ＡEA01(Translation),湘南藤沢,狩俣 恵美,対面授業（主として対面授業）,κ16,木2,SFC
アラビア語スキル,湘南藤沢,山本 薫,対面授業（主として対面授業）,ι15,金2,SFC
プロジェクト英語Ｂ(Project),湘南藤沢,寺本 羽衣,対面授業（主として対面授業）,ε13,月3,SFC
プロジェクト英語Ａ(Presentation),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火5,SFC
プロジェクト英語ＢEB01(Writing),湘南藤沢,クベロ， ブライアン,対面授業（主として対面授業）,ε24,水1,SFC
プロジェクト英語ＡEA01(Listening),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ο18,水2,SFC
スペイン語スキルB,湘南藤沢,高木 和子,対面授業（主として対面授業）,λ14,木2,SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,ボンジー， アラーナ Ｒ．,対面授業（主として対面授業）,ι16,火4,SFC;その他
プロジェクト英語Ｂ(Presentation),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火4,SFC
プロジェクト英語Ｃ(Translation)(GIGA/GG/GI),湘南藤沢,狩俣 恵美,対面授業（主として対面授業）,κ16,木3,SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ο18,水1,SFC
心身ウェルネス【学期前半】(GIGA/GG/GI),湘南藤沢,"森 さち子, 黒川 隆徳, 島津 明人, 矢作 尚久",対面授業（主として対面授業）,κ23,月3,SFC
心身ウェルネス【学期前半】,湘南藤沢,"森 さち子, 小野田 直子, 貞安 元, 林 公輔, 矢作 尚久, 山内 慶太",対面授業（主として対面授業）,ι11,月3,SFC
プロジェクト英語Ｂ(Discussion/Presentation),湘南藤沢,狩野 みき,対面授業（主として対面授業）,ι14,火3,SFC;その他
プロジェクト英語ＢEB02(Critical Thinking),湘南藤沢,狩野 みき,対面授業（主として対面授業）,ι14,火2,SFC
プロジェクト英語ＢEB02(Writing),湘南藤沢,太田 理津子,対面授業（主として対面授業）,ο15,金1,SFC;その他
プロジェクト英語Ｂ(Writing),湘南藤沢,太田 理津子,対面授業（主として対面授業）,ο15,金2,SFC;その他
プロジェクト英語ＣEC01(Writing)(GIGA/GG/GI),湘南藤沢,太田 理津子,対面授業（主として対面授業）,κ22,水2,SFC;その他
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,石渕 理恵子,対面授業（主として対面授業）,κ16,月3,SFC
プロジェクト英語Ｃ(Listening)(GIGA/GG/GI),湘南藤沢,ベデロ， サイモン,対面授業（主として対面授業）,ι16,火2,SFC
プロジェクト英語Ｃ(Presentation)(GIGA/GG/GI),湘南藤沢,ランド， ネリダ,対面授業（主として対面授業）,ι17,火3,SFC
プロジェクト英語Ｃ(Subcultures)(GIGA/GG/GI),湘南藤沢,ヘニグマン， デイビッド,対面授業（主として対面授業）,ο18,金2,SFC
プロジェクト英語Ｂ(Listening + Writing),湘南藤沢,サザーランド， サラ,対面授業（主として対面授業）,ι14,木3,SFC
言語とヒューマニティ,湘南藤沢,國枝 孝弘,対面授業（主として対面授業）,ι23,木2,SFC
プロジェクト英語Ｂ(Listening),湘南藤沢,中浜 優子,対面授業（主として対面授業）,λ24,木3,SFC
プロジェクト評価論,湘南藤沢,藤田 元信,対面授業（主として対面授業）,ε11,金3,SFC
エネルギー環境論,湘南藤沢,有野 洋輔,対面授業（主として対面授業）,τ12,金2,SFC
マスコミュニケーション【学期後半】,湘南藤沢,渡辺 将人,対面授業（主として対面授業）,κ18,"火2,3",SFC
プロジェクト英語Ｃ(Project)(GIGA/GG/GI),湘南藤沢,寺本 羽衣,対面授業（主として対面授業）,ε13,月4,SFC
創造システム理論,湘南藤沢,井庭 崇,対面授業（主として対面授業）,κ12,金1,SFC
外交と戦略(GIGA/GG),湘南藤沢,北川 敬三,対面授業（主として対面授業）,κ11,月1,SFC
芸術と科学,湘南藤沢,脇田 玲,対面授業（主として対面授業）,Ω21,月4,SFC
科学史,湘南藤沢,内藤 泰宏,対面授業（主として対面授業）,Ω12,金2,SFC
社会保障政策（医療・介護）,湘南藤沢,佐藤 豪竜,対面授業（主として対面授業）,τ11,火3,SFC
ミクロ経済２,湘南藤沢,飯島 大邦,オンライン授業（主としてリアルタイム形式）,,火1,その他
国際開発論(GIGA/GG),湘南藤沢,中室 牧子,対面授業（主として対面授業）,κ22,火3,その他
国際金融論,湘南藤沢,和田 龍磨,対面授業（主として対面授業）,Ω11,月2,SFC
国際企業論【学期前半】,湘南藤沢,琴坂 将広,対面授業（主として対面授業）,Ω11,"月3,4",SFC;その他
研究会Ａ,湘南藤沢,小林 博人,対面授業（主として対面授業）,ν棟-DNPﾊｳｽ,"月5,6",SFC;その他
